Bet #	Date	Bookmaker	Bet Type	League	Home Team	Away Team	Bet Placed	Odds	Stake	Live Bet?	Win	Bonus Bet?		 At Risk 	 Normalized Result 	Odds Probability	 Potential Payout 	 Potential Gain 	 Bet Result 		Notes
	2/18/2023	DraftKings	     Leg	NCAAM	Michigan	Michigan State	Michigan State ML			Yes	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
30	2/18/2023	DraftKings	Winner (ML)	NCAAM	Saint Mary's	BYU	Saint Mary's 1H ML	-285	$38.00	Yes	Yes	No		 $ 38.00 	0.71	74%	 $ 51.33 	 $ 13.33 	 $ 51.33 	 $ 13.33 	
31	2/19/2023	DraftKings	Spread	Premier League	West Ham	Tottenham	West Ham +0.5	-105	$20.00	No	No	No		 $ 20.00 	-0.98	51%	 $ 39.05 	 $ 19.05 	 $ -   	 $ (20.00)	
32	2/19/2023	DraftKings	3 Leg Parlay	NCAAM			See Below:	142	$31.00	No	Yes	No		 $ 31.00 	1.27	41%	 $ 75.02 	 $ 44.02 	 $ 75.02 	 $ 44.02 	
	2/19/2023	DraftKings	     Leg	NCAAM	NC State	North Carolina	NC State ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/19/2023	DraftKings	     Leg	NCAAM	Purdue	Ohio State	Purdue ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/19/2023	DraftKings	     Leg	NCAAM	Houston	Memphis	Houston ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
33	2/19/2023	DraftKings	2 Leg Parlay	NCAAM			See Below:	-204	$30.00	No	Yes	No		 $ 30.00 	0.78	67%	 $ 44.71 	 $ 14.71 	 $ 44.71 	 $ 14.71 	
	2/19/2023	DraftKings	     Leg	NCAAM	Boise St	UNLV	Boise ST ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/19/2023	DraftKings	     Leg	NCAAM	Furman	ETSU	Furman ML			Yes	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
34	2/21/2023	DraftKings	Winner (ML)	Champions League	Napoli	Frankfurt	Napoli ML	120	$20.00	No	Yes	No		 $ 20.00 	1.15	45%	 $ 44.00 	 $ 24.00 	 $ 44.00 	 $ 24.00 	
35	2/21/2023	DraftKings	Prop	NCAAM	Xavier	Villanova	Colby +24.5	100	$10.00	No	No	No		 $ 10.00 	-0.95	50%	 $ 20.00 	 $ 10.00 	 $ -   	 $ (10.00)	
36	2/21/2023	DraftKings	Winner (ML)	NCAAM	Xavier	Villanova	Xavier -4.5	-110	$20.00	No	No	No		 $ 20.00 	-1.00	52%	 $ 38.18 	 $ 18.18 	 $ -   	 $ (20.00)	
37	2/21/2023	DraftKings	Winner (ML)	NCAAM	VA Tech	Miami FL	Miami FL ML	140.5	$10.00	No	Yes	No		 $ 10.00 	1.26	42%	 $ 24.05 	 $ 14.05 	 $ 24.05 	 $ 14.05 	
38	2/21/2023	DraftKings	4+ Parlay	NCAAM			See Below:	798	$10.00	No	No	No		 $ 10.00 	-0.21	11%	 $ 89.80 	 $ 79.80 	 $ -   	 $ (10.00)	
	2/21/2023	DraftKings	     Leg	NCAAM	Georgia Tech	Pittsburgh	Pittsburgh ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/21/2023	DraftKings	     Leg	NCAAM	San Jose St	Nevada	Nevada ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/21/2023	DraftKings	     Leg	NCAAM	Miami FL	VA Tech	Miami FL ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/21/2023	DraftKings	     Leg	NCAAM	Mississippi St	Missouri	Missouri ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/21/2023	DraftKings	     Leg	NCAAM	Xavier	Villanova	Xavier ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
39	2/21/2023	DraftKings	Winner (ML)	NCAAM	Xavier	Villanova	Xavier ML	115	$20.00	No	No	No		 $ 20.00 	-0.89	47%	 $ 43.00 	 $ 23.00 	 $ -   	 $ (20.00)	
40	2/21/2023	DraftKings	2 Leg Parlay	NCAAM			See Below:	108	$20.00	No	No	No		 $ 20.00 	-0.92	48%	 $ 41.60 	 $ 21.60 	 $ -   	 $ (20.00)	
	2/21/2023	DraftKings	     Leg	NCAAM	Texas	Iowa St	Iowa St +7.5			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/21/2023	DraftKings	     Leg	NCAAM	Georgia	Arkansas	Arkansas ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
41	2/21/2023	DraftKings	3 Leg Parlay	NCAAM			See Below:	170	$12.00	No	No	No		 $ 12.00 	-0.71	37%	 $ 32.40 	 $ 20.40 	 $ -   	 $ (12.00)	
	2/21/2023	DraftKings	     Leg	NCAAM	Michigan St	Indiana	Michigan St ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/21/2023	DraftKings	     Leg	NCAAM	Nevada	San Jose St	Nevada ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/21/2023	DraftKings	     Leg	NCAAM	Creighton	Marquette	Creighton ML			Yes	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
42	2/21/2023	DraftKings	Winner (ML)	NCAAM	Creighton	Marquette	Creighton ML	-180	$18.00	Yes	No	No		 $ 18.00 	-1.23	64%	 $ 28.00 	 $ 10.00 	 $ -   	 $ (18.00)	
43	2/22/2023	DraftKings	2 Leg Parlay	Champions League			See Below	245	$18.00	No	No	No		 $ 18.00 	-0.55	29%	 $ 62.10 	 $ 44.10 	 $ -   	 $ (18.00)	
	2/22/2023	DraftKings	     Leg	Champions League	Man City	Leipzig	Man City ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/22/2023	DraftKings	     Leg	Champions League	Porto	Inter Milan	Inter Milan ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
44	2/22/2023	DraftKings	Spread	NCAAM	Army	Boston University	Army -3	-110	$20.00	No	No	No		 $ 20.00 	-1.00	52%	 $ 38.18 	 $ 18.18 	 $ -   	 $ (20.00)	
45	2/22/2023	DraftKings	Spread	NCAAM	Connecticut	Providence	Providence +7.5	-110	$20.00	No	No	No		 $ 20.00 	-1.00	52%	 $ 38.18 	 $ 18.18 	 $ -   	 $ (20.00)	
46	2/22/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	121	$20.00	No	Yes	No		 $ 20.00 	1.16	45%	 $ 44.20 	 $ 24.20 	 $ 44.20 	 $ 24.20 	
	2/22/2023	DraftKings	     Leg	NCAAM	Maryland	Minnesota	Maryland ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/22/2023	DraftKings	     Leg	NCAAM	Clemson	Syracuse	Clemson ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/22/2023	DraftKings	     Leg	NCAAM	Boise State	New Mexico	Boise St ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
47	2/22/2023	DraftKings	Winner (ML)	NCAAM	Wisconsin	Iowa	Wisconsin ML	-120	$20.00	No	Yes	No		 $ 20.00 	0.96	55%	 $ 36.67 	 $ 16.67 	 $ 36.67 	 $ 16.67 	
48	2/22/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	-154	$20.00	No	Yes	No		 $ 20.00 	0.86	61%	 $ 32.99 	 $ 12.99 	 $ 32.99 	 $ 12.99 	
	2/22/2023	DraftKings	     Leg	NCAAM	Houston	Tulane	Houston ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/22/2023	DraftKings	     Leg	NCAAM	Alabama	South Carolina	Alabama ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/22/2023	DraftKings	     Leg	NCAAM	NC State	Wake Forest	NC State ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
49	2/23/2023	DraftKings	Winner (ML)	Europa League	Barcelona	Manchester United	Barcelona ML	-125	$14.00	Yes	No	No		 $ 14.00 	-1.06	56%	 $ 25.20 	 $ 11.20 	 $ -   	 $ (14.00)	
50	2/23/2023	DraftKings	Winner (ML)	NCAAM	Sam Houston	California Baptist	Sam Houston ML	-250	$30.00	No	Yes	No		 $ 30.00 	0.73	71%	 $ 42.00 	 $ 12.00 	 $ 42.00 	 $ 12.00 	
51	2/23/2023	DraftKings	Winner (ML)	NCAAM	Sam Houston	California Baptist	Sam Houston ML	-135	$10.00	No	Yes	No		 $ 10.00 	0.91	57%	 $ 17.41 	 $ 7.41 	 $ 17.41 	 $ 7.41 	
52	2/23/2023	DraftKings	Winner (ML)	NCAAM	Rutgers	Michigan	Rutgers ML		$10.00	No	No	No		 $ 10.00 		0%	 $ -   	 $ (10.00)	 $ -   	 $ (10.00)	
53	2/24/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	200	$50.00	No	Yes	No		 $ 50.00 	1.57	33%	 $ 150.00 	 $ 100.00 	 $ 150.00 	 $ 100.00 	
	2/24/2023	DraftKings	     Leg	NCAAM	Seton Hall	Xavier	Xavier ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/24/2023	DraftKings	     Leg	NCAAM	Fresno State	Nevada	Nevada ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
54	2/24/2023	DraftKings	Winner (ML)	NCAAM	Seton Hall	Xavier	Xavier ML	-125	$20.00	No	Yes	No		 $ 20.00 	0.94	56%	 $ 36.00 	 $ 16.00 	 $ 36.00 	 $ 16.00 	
55	2/25/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	140	$20.00	No	No	No		 $ 20.00 	-0.80	42%	 $ 48.00 	 $ 28.00 	 $ -   	 $ (20.00)	
	2/25/2023	DraftKings	     Leg	NCAAM	Iowa	Michigan State	Iowa ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Iowa State	Oklahoma	Iowa St ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Alabama	Arkansas	Alabama ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
56	2/25/2023	DraftKings	Over / Under	NCAAM	Baylor/Purdue	Texas/Indiana	Combined over 285	100	$10.00	No	Yes	No		 $ 10.00 	1.05	50%	 $ 20.00 	 $ 10.00 	 $ 20.00 	 $ 10.00 	
57	2/25/2023	DraftKings	4+ Parlay	NCAAM			See Below	144	$15.00	No	No	No		 $ 15.00 	-0.78	41%	 $ 36.60 	 $ 21.60 	 $ -   	 $ (15.00)	
	2/25/2023	DraftKings	     Leg	NCAAM	Miami FL	Florida St	Miami FL ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Kansas	West Virginia	Kansas ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
